instance,group,formulation,lower_bound,upper_bound,time,variables,constraints,optimal
j3027_9,j3027,discrete,55,55,0.21,712,335,True
j3027_9,j3027,continuous,55,55,0.3,1029,1952,True
j3028_10,j3028,discrete,59,59,0.16,758,327,True
j3028_10,j3028,continuous,59,59,0.03,993,1885,True
j3028_1,j3028,discrete,69,69,0.08,604,364,True
j3028_1,j3028,continuous,69,69,0.03,985,1898,True
j3028_2,j3028,discrete,57,57,0.12,748,319,True
j3028_2,j3028,continuous,57,57,0.03,1009,1925,True
j3028_3,j3028,discrete,40,40,0.08,415,259,True
j3028_3,j3028,continuous,40,40,0.23,1085,2097,True
j3028_4,j3028,discrete,49,49,0.07,488,287,True
j3028_4,j3028,continuous,49,49,0.03,1029,1990,True
j3028_5,j3028,discrete,73,73,0.11,697,383,True
j3028_5,j3028,continuous,73,73,0.03,937,1813,True
j3028_6,j3028,discrete,55,55,0.09,524,311,True
j3028_6,j3028,continuous,55,55,0.03,905,1761,True
j3028_7,j3028,discrete,48,48,0.07,445,283,True
j3028_7,j3028,continuous,48,48,0.03,1029,2004,True
j3028_8,j3028,discrete,53,53,0.09,650,303,True
j3028_8,j3028,continuous,53,53,0.03,1053,2021,True
j3028_9,j3028,discrete,62,62,0.11,727,339,True
j3028_9,j3028,continuous,62,62,0.03,901,1733,True
j3029_10,j3029,discrete,68,78,1200,1903,447,False
j3029_10,j3029,continuous,76,76,3.22,729,1370,True
j3029_1,j3029,discrete,82,93,1200,1940,471,False
j3029_1,j3029,continuous,85,85,446.75,913,1697,True
j3029_2,j3029,discrete,72,98,1200,2461,539,False
j3029_2,j3029,continuous,90,90,267.37,903,1672,True
j3029_3,j3029,discrete,66,81,1200,1648,435,False
j3029_3,j3029,continuous,57,79,1200,825,1529,False
j3029_4,j3029,discrete,80,127,1200,2740,603,False
j3029_4,j3029,continuous,92,104,1200,763,1409,False
j3029_5,j3029,discrete,87,118,1200,2546,563,False
j3029_5,j3029,continuous,98,98,38.17,815,1506,True
j3029_6,j3029,discrete,70,112,1200,2419,543,False
j3029_6,j3029,continuous,77,92,1200.0,897,1673,False
j3029_7,j3029,discrete,61,78,1200,1783,431,False
j3029_7,j3029,continuous,73,73,1192.53,891,1668,True
j3029_8,j3029,discrete,70,98,1200,2002,483,False
j3029_8,j3029,continuous,66,81,1200.0,1019,1903,False
j3029_9,j3029,discrete,81,117,1200,2581,559,False
j3029_9,j3029,continuous,97,97,837.15,815,1505,True
j302_10,j302,discrete,43,43,0.11,699,270,True
j302_10,j302,continuous,43,43,0.33,1125,2096,True
j302_1,j302,discrete,38,38,0.11,605,253,True
j302_1,j302,continuous,38,38,0.19,1245,2324,True
j302_2,j302,discrete,51,51,0.09,729,277,True
j302_2,j302,continuous,51,51,0.18,1309,2436,True
j302_3,j302,discrete,43,43,0.04,395,239,True
j302_3,j302,continuous,43,43,0.13,1279,2469,True
j302_4,j302,discrete,43,43,0.05,386,229,True
j302_4,j302,continuous,43,43,0.05,1221,2331,True
j302_5,j302,discrete,51,51,0.11,860,300,True
j302_5,j302,continuous,51,51,0.24,1147,2142,True
j302_6,j302,discrete,47,47,0.03,651,258,True
j302_6,j302,continuous,47,47,0.04,1179,2215,True
j302_7,j302,discrete,47,47,0.07,540,239,True
j302_7,j302,continuous,47,47,0.17,1275,2413,True
j302_8,j302,discrete,54,54,0.13,888,304,True
j302_8,j302,continuous,54,54,0.37,1209,2244,True
j302_9,j302,discrete,54,54,0.03,573,279,True
j302_9,j302,continuous,54,54,0.03,1285,2453,True
j3030_10,j3030,discrete,53,53,7.21,849,343,True
j3030_10,j3030,continuous,53,53,97.97,1033,1952,True
j3030_1,j3030,discrete,47,47,6.43,845,307,True
j3030_1,j3030,continuous,47,47,40.81,1085,2039,True
j3030_2,j3030,discrete,68,68,21.61,1350,427,True
